id,claim,value,source_authority,source_document,source_section,source_url,jurisdiction,zone_or_scope,verified_date,status,notes
REF-011,"QLD cadastre address_standard field value UK","Unknown — the addressing standard applied to this address record is not recorded","Queensland Department of Resources / QLD Spatial (empirical — no published coded domain found)","Queensland Land Parcel Property Framework (ArcGIS REST service, Addresses layer ID 0) + local QAMF dataset analysis","Field 'address_standard' (alias: Address standard, length 4, domain: null per ArcGIS service). Full domain observed empirically: UK=Unknown (2,763,271 records, 97%), NS=Non-Standard (52,598), UR=Urban/AS4819 (6,557), RU=Rural/AS4819 (2,565), WA=Water Address (179). UR/RU verified against address samples: UR=inner-city Brisbane (460 Ann St Brisbane City), RU=rural roads (289 St Helens Road Yarranlea). NS=outback addresses without street numbers (Mcauliffe Street Aramac). WA=waterway addresses (Daintree River Upper Daintree).","https://spatial-gis.information.qld.gov.au/arcgis/rest/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/0","QLD","qld_cadastre_address.address_standard",2026-03-20,inferred,"No ArcGIS coded domain is published (domain:null). No definition found in DCDB QIF spec, GNAF appendices, or PLSplus spec. UK meaning 'Unknown' is inferred from: (1) it is overwhelmingly the dominant value (97% of 2.8M records), consistent with a default/fallback for unclassified legacy data; (2) the two-letter abbreviation pattern matches UR=Urban, RU=Rural, NS=Non-Standard, WA=Water — making UK=Unknown the only coherent expansion; (3) AS/NZS 4819:2011 defines urban/rural addressing standards, which UR/RU directly reference. The field is NOT worth displaying in the UI — 97% of records are 'Unknown' which provides no actionable information to a homeowner."
REF-012,"Material Change of Use (MCU) — definition under Queensland planning legislation","Starting a new use of premises; re-establishing an abandoned use; or materially increasing the intensity or scale of an existing use","Queensland Parliament","Planning Act 2016 (Qld)","Schedule 2 — Dictionary, entry 'material change of use'","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — all zones",2026-03-20,verified,"One of four categories of 'development' under s.10 Planning Act 2016. Assessed at either Code Assessment (no public notification, against applicable codes only) or Impact Assessment (public notification required, assessed against whole planning scheme). Tooltip: 'A DA type required when starting a new land use, restarting an abandoned use, or significantly increasing the scale of an existing use. Planning Act 2016 (Qld), Schedule 2.'"
REF-013,"Material Change of Use — Code Assessment definition","Assessed only against the applicable codes in the planning scheme; no public notification required; no third-party appeal rights","Queensland Parliament","Planning Act 2016 (Qld)","Section 45(3)","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — code-assessable uses",2026-03-20,verified,"Code Assessment applies when the proposed use is consistent with the zone's intended uses. Standard timeframe ~35 business days. Tooltip: 'Assessed against the applicable codes in the planning scheme only. No public notification required and neighbours cannot appeal.'"
REF-014,"Material Change of Use — Impact Assessment definition","Assessed against the entire planning scheme and any other relevant matter; public notification required; third-party appeal rights apply","Queensland Parliament","Planning Act 2016 (Qld)","Section 45(5)","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — impact-assessable uses",2026-03-20,verified,"Impact Assessment applies when the proposed use is not consistent with the zone's intended uses. Requires minimum 15 business day public notification period during which submissions can be made. Tooltip: 'Assessed against the entire planning scheme. Public notification required and submitters can appeal the decision.'"
REF-015,"Reconfiguring a Lot (ROL) — definition under Queensland planning legislation","Creating lots by subdivision; amalgamating lots; rearranging boundaries; dividing land by agreement; or creating an access easement from a constructed road","Queensland Parliament","Planning Act 2016 (Qld)","Schedule 2 — Dictionary, entry 'reconfiguring a lot'","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — all zones",2026-03-20,verified,"One of four categories of 'development' under s.10. Key subtypes in Gold Coast DA data: 1-into-2 subdivision (58 DAs), boundary realignment (26), access easement (6), 1-into-3 (5). Tooltip: 'Covers subdividing land into new lots, combining lots, realigning boundaries, or creating a new access easement. Planning Act 2016 (Qld), Schedule 2.'"
REF-016,"Operational Works (OPW) — definition under Queensland planning legislation","Work, other than building work or plumbing or drainage work, in/on/over/under premises that materially affects premises or their use","Queensland Parliament","Planning Act 2016 (Qld)","Schedule 2 — Dictionary, entry 'operational work'","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — all zones",2026-03-20,verified,"One of four categories of 'development' under s.10. Broad catch-all for physical works not covered by building or plumbing approvals. Gold Coast subtypes: private tree works (596 DAs), landscaping (409), civil/ground level changes (250), development tree works (143), electrical reticulation (132). Tooltip: 'Physical changes to land that aren't building or plumbing work — earthworks, tree clearing, driveways, landscaping, and infrastructure. Planning Act 2016 (Qld), Schedule 2.'"
REF-017,"OPW Vehicle Access Works / Vehicle Crossover (VXO) — Gold Coast DA subtype","Operational works application for a non-standard vehicular crossing (driveway) from a property to a public road","City of Gold Coast","Gold Coast City Plan — Operational Works (Vehicle Crossings)","Operational Works — Driveways/vehicular crossings","https://www.goldcoast.qld.gov.au/Planning-building/Development-applications/Development-application-types/Driveways-vehicular-crossings","QLD — Gold Coast","Operational Works sub-type",2026-03-20,verified,"VXO = Vehicular Crossing. Non-standard crossovers require DA approval (standard crossovers may be accepted development). 542 VXO DAs in Gold Coast dataset. Tooltip: 'A development application for a non-standard driveway or vehicular crossing connecting a property to a public road.'"
REF-018,"Prescribed Tidal Works — definition under Queensland coastal legislation","Works consisting of tidal works (construction/demolition of structures in tidal areas: jetties, pontoons, seawalls, boat ramps, wharves, marinas) or works integrally including tidal works","Queensland Parliament","Coastal Protection and Management Regulation 2017 (Qld)","Section 15 and Schedule 4 (Dictionary); parent definition in Coastal Protection and Management Act 1995 (Qld)","https://www.legislation.qld.gov.au/view/whole/html/inforce/2017-09-01/sl-2017-0138","QLD","Development applications — coastal/tidal areas",2026-03-20,verified,"Assessed by local government when located in a tidal area within an LGA boundary. Must comply with Schedule 3 design code. Exclusions: State-managed boat harbours, port operations, navigational channels. 282 pontoon DAs and 3 seawall DAs in Gold Coast dataset. Tooltip: 'Works built or demolished in tidal water — jetties, pontoons, seawalls, boat ramps — assessed under the Coastal Protection and Management Regulation 2017.'"
REF-019,"Minor Change to a development approval — definition under Queensland planning legislation","A change to a development approval that would not result in substantially different development","Queensland Parliament","Planning Act 2016 (Qld) + Development Assessment Rules","Planning Act 2016 s.78 (application), s.81 (assessment); DA Rules Schedule 1 (substantially different development test)","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Post-approval changes",2026-03-20,verified,"Minor change = does not involve a new use, new land parcel, new referral agency, prohibited development, or shift from code to impact assessment. No public notification required. 20 business day assessment timeframe. 612 minor change applications in Gold Coast dataset. Tooltip: 'A modest modification to an existing development approval that does not result in substantially different development. No public notification required. Planning Act 2016 (Qld), s.78.'"
REF-020,"Extension of Approval (currency period) — Queensland planning legislation","Application to extend the period within which a development approval must be acted on before it lapses","Queensland Parliament","Planning Act 2016 (Qld)","Section 85 (currency period), Section 86 (extension application), Section 87 (decision)","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Post-approval — all development types",2026-03-20,verified,"Default currency periods: MCU = 6 years, ROL = 4 years, Building/OPW = 2 years. Must be lodged before approval lapses. Owner consent required. 79 extension DAs in Gold Coast dataset. Tooltip: 'An application to extend the period within which a development approval must be acted on before it lapses. Must be lodged before expiry. Planning Act 2016 (Qld), s.86.'"
REF-021,"Combined Application — definition under Queensland planning legislation","A single development application covering two or more types of development (e.g. MCU + operational works) assessed under one process","Queensland Parliament","Planning Act 2016 (Qld)","Section 51 — Making development applications","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Development applications — multiple types",2026-03-20,verified,"Not separately defined in Schedule 2 Dictionary — a procedural concept arising from s.51's permission to include multiple development types in one application. Where multiple assessment managers apply, DA Rules designate the principal assessment manager. 29 combined DAs in Gold Coast dataset. Tooltip: 'A single DA covering two or more development types (e.g. MCU + operational works) assessed together in one process. Planning Act 2016 (Qld), s.51.'"
REF-022,"Priority Development Area (PDA) — definition under Queensland legislation","A declared area where the State Government controls planning to fast-track economic development; overrides local council planning scheme","Queensland Parliament","Economic Development Act 2012 (Qld)","Section 37 (declaration), Section 38 (interim land use plan), Section 4 (main purpose)","https://www.legislation.qld.gov.au/view/whole/html/current/act-2012-043","QLD — Gold Coast (Robina PDA, Southport PDA)","Priority Development Areas",2026-03-20,verified,"PDAs like Robina Town Centre PDA and Southport PDA have their own development schemes administered by Economic Development Queensland (EDQ) rather than council. Development in PDAs is assessed against the PDA development scheme, not the Gold Coast City Plan. Tooltip: 'A State-declared area where the State Government controls planning instead of council, to fast-track economic development. PDAs have their own development scheme. Economic Development Act 2012 (Qld), s.37.'"
REF-023,"Robina Final Development Approval (Robina FDA) — Gold Coast DA type","A Final Development Approval issued under the Robina Central Business District Development Agreement (a pre-IPA legacy planning instrument for Robina Town Centre)","City of Gold Coast / Economic Development Queensland","Robina Central Business District Planning Agreement (legacy instrument, pre-IPA)","Robina Town Centre development approval framework","https://www.goldcoast.qld.gov.au/Planning-building/Development-applications","QLD — Gold Coast (Robina Town Centre)","Robina Town Centre PDA",2026-03-20,verified,"A legacy approval type specific to the Robina Town Centre PDA. 20 Robina FDA applications in Gold Coast dataset. These are final approvals under the historic Robina Central Business District development agreement, distinct from the standard Planning Act 2016 approval pathway. Tooltip: 'A Final Development Approval for the Robina Town Centre, assessed under the historic Robina CBD development agreement rather than the standard planning scheme.'"
REF-024,"Express Development Application — Gold Coast fast-track DA process","A council-administered fast-track process for low-complexity, code-assessable DAs decided within 10–15 business days","City of Gold Coast","Gold Coast City Council — Express Development Applications","Express DA program description and eligibility criteria","https://www.goldcoast.qld.gov.au/Planning-building/Development-applications/Development-application-types/Express-development-applications","QLD — Gold Coast","Code-assessable development applications",2026-03-20,verified,"Not a separate legislative category — an administrative program offered at council discretion. Eligible types: dual occupancy, lot reconfiguration (up to 5 lots), multiple dwelling (3–10 units), low-impact industry, warehouse, food/drink outlet, healthcare, office, shop. Must be code assessable. 3 Express DAs in Gold Coast dataset. Tooltip: 'A fast-track council process for simple, code-assessable DAs decided within 10–15 business days instead of the standard 45.'"
REF-025,"Superseded Planning Scheme — Queensland planning legislation","Application assessed under the previous planning scheme rather than the current one; available within 1 year of a planning change","Queensland Parliament","Planning Act 2016 (Qld)","Section 29 (superseded planning scheme requests)","https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-2016-025","QLD","Post-amendment development applications",2026-03-20,verified,"Must apply within 1 year of the planning scheme change. If agreed, applicant has 6 months to lodge. Useful when new planning rules would make development harder to approve. 1 superseded planning scheme DA in Gold Coast dataset. Tooltip: 'Lets you apply to have your DA assessed under the previous planning scheme if it was recently replaced or amended. Must apply within 1 year of the change. Planning Act 2016 (Qld), s.29.'"
REF-026,"Temporary Ground Anchors — Queensland planning DA type","Operational works application for temporary ground anchors used during construction (e.g. tie-back anchors for retaining walls or excavation support)","City of Gold Coast","Gold Coast City Council — Development application types","Operational Works — Temporary Ground Anchors","https://www.goldcoast.qld.gov.au/Planning-building/Development-applications","QLD — Gold Coast","Operational Works sub-type",2026-03-20,verified,"A specific OPW sub-type for temporary anchors drilled through or under neighbouring properties during construction. Typically requires neighbour consent and approval because the anchor passes beyond the applicant's property boundary. 9 Temporary Ground Anchor DAs in Gold Coast dataset. Tooltip: 'A development application for temporary anchors used during construction (e.g. tie-back anchors for excavation support), typically where anchors extend under neighbouring land.'"
